"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"181",642233,"Eric Yardley","181","100.0","0.261","0.087","0.289","0.348","0.295","0.272","0.230","12","46","87.2","-2.2","2280","81.6","80.81","20","88","92","-0.8","5.94","114","150","116","147","302","321","298"
"176",660853,"Enyel De Los Santos","176","100.0","0.317","0.293","0.321","0.610","0.420","0.394","0.305","13","41","86.2","12.1","2075","89.3","88.11","22","85","89","-1.2","5.63","110","152","117","149","299","321","289"
"171",543903,"Allen Webster","171","100.0","0.304","0.196","0.343","0.500","0.367","0.377","0.283","14","46","89.5","1.0","2237","90.7","90.81","30","89","81","0.1","6.17","108","147","111","145","293","318","288"
"171",666200,"Jesus Luzardo","171","100.0","0.119","0.119","0.160","0.238","0.196","0.228","0.152","5","42","87.4","14.1","2303","90.1","88.73","26","69","101","-1.4","5.50","112","149","122","151","300","327","296"
"171",472551,"Fernando Abad","171","100.0","0.196","0.130","0.200","0.326","0.249","0.237","0.192","9","46","88.0","3.1","2170","86.7","85.57","18","69","102","-1.1","5.44","109","149","114","149","291","325","302"
"169",600986,"Thyago Vieira","169","100.0","0.344","0.031","0.458","0.375","0.363","0.392","0.324","11","32","87.6","12.7","2296","94.0","94.49","23","78","91","0.5","6.52","110","147","115","147","302","324","296"
"169",623354,"Daniel Zamora","169","100.0","0.294","0.176","0.346","0.471","0.361","0.326","0.229","10","34","86.8","20.0","2554","81.1","80.31","17","70","98","-0.8","5.90","114","149","114","145","296","316","295"
"166",669270,"Joel Kuhnel","166","100.0","0.216","0.108","0.259","0.324","0.284","0.264","0.193","8","37","88.2","13.9","2232","92.4","93.26","25","85","80","0.9","6.64","111","152","118","144","291","309","287"
"164",582494,"Robby Scott","164","100.0","0.276","0.207","0.368","0.483","0.390","0.362","0.247","8","29","83.0","14.6","2172","83.1","82.73","18","63","100","-0.4","6.13","106","150","116","149","299","320","297"
"164",668683,"Jeremy Walker","164","100.0","0.265","0.088","0.321","0.353","0.308","0.289","0.251","9","34","91.4","8.5","2329","88.2","87.04","15","73","91","-1.2","5.57","109","150","112","145","308","323","298"
"163",672335,"Cionel Perez","163","100.0","0.289","0.289","0.286","0.579","0.377","0.343","0.289","11","38","94.2","12.7","2187","91.0","90.05","18","74","89","-1.0","5.71","108","148","119","148","289","323","299"
"163",665001,"Trevor Kelley","163","100.0","0.290","0.323","0.259","0.613","0.375","0.432","0.277","9","31","91.0","26.3","2388","85.5","85.27","11","69","93","-0.2","6.35","109","153","123","148","290","322","288"
"161",595897,"Nick Burdi","161","100.0","0.297","0.189","0.526","0.486","0.347","0.245","0.200","11","37","88.1","21.6","2489","91.9","90.80","30","82","76","-1.1","5.53","105","146","109","146","296","319","297"
"160",525768,"Tim Collins","160","100.0","0.265","0.176","0.267","0.441","0.320","0.340","0.281","9","34","86.3","14.3","2340","87.4","86.44","12","68","92","-1.0","5.53","110","150","112","152","296","320","296"
"157",572070,"Garrett Richards","157","100.0","0.294","0.382","0.381","0.676","0.439","0.379","0.260","10","34","86.6","4.4","2859","91.5","90.58","18","59","97","-0.9","5.72","112","151","118","149","302","326","307"
"155",621366,"Ryan Borucki","155","100.0","0.441","0.353","0.500","0.794","0.542","0.459","0.358","15","34","93.8","12.0","2157","87.8","87.57","14","59","96","-0.2","6.21","102","151","115","148","313","326","306"
"154",670970,"Adrian Morejon","154","100.0","0.385","0.231","0.483","0.615","0.440","0.402","0.344","15","39","90.5","11.6","2287","90.2","89.60","15","76","78","-0.6","5.77","116","153","115","150","302","325","301"
"153",642100,"Gabe Speier","153","100.0","0.185","0.259","0.200","0.444","0.337","0.368","0.225","5","27","87.4","27.0","2404","89.9","88.82","17","69","84","-1.1","5.60","114","150","115","145","304","330","301"
"150",489295,"Brian Schlitter","150","100.0","0.324","0.081","0.387","0.405","0.350","0.251","0.204","12","37","87.4","2.7","2080","92.1","90.19","13","72","78","-1.9","5.14","109","149","124","148","302","328","295"
